id,name,official_url,government_level,state,ministry,department,organization,category,subcategories,relevance,data_domains,formats,access_method,api_available,historical_data,captcha,authentication_required,machine_readability,update_frequency,identifier_fields,discovered_from,verified_at,verification_status,http_status,final_url,page_title,verification_channel,platform,cppp_listed_url,notes
cen-lgd,Local Government Directory (LGD),https://lgdirectory.gov.in/,central,,Ministry of Panchayati Raj,,,administrative_hierarchy,,CRITICAL,administrative; hierarchy; codes,HTML; CSV; API,PUBLIC_DOWNLOAD,partial,yes,unknown,unknown,B,unknown,lgd_code; census_code,WebSearch (gov.in-restricted) 2026-08-21,2026-08-21,DISCOVERED,,,,http_head_get_sandbox,,,THE canonical join key for the whole platform. Not reachable from the sandbox egress; verified through a second network path. NAPIX API access is registration-gated. | Not reachable from verification vantage point on 2026-08-21: URLERR [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129). Existence NOT disproven.
cen-egramswaraj,"eGramSwaraj (Panchayat planning, accounting & progress)",https://egramswaraj.gov.in/,central,,Ministry of Panchayati Raj,,,local_government,panchayat_finance; physical_progress,CRITICAL,finance; expenditure; progress; local_government,HTML,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lgd_code,WebSearch (gov.in-restricted) 2026-08-21,2026-08-21,DISCOVERED,,,,http_head_get_sandbox,,,Integrates with LGD and PFMS via unique codes. Not reachable from either verification channel on 2026-08-21 — DISCOVERED only. | Not reachable from verification vantage point on 2026-08-21: URLERR [Errno 54] Connection reset by peer. Existence NOT disproven.
cen-mospi,Ministry of Statistics and Programme Implementation,https://mospi.gov.in/,central,,,,,statistics,,MEDIUM,statistics,PDF; XLS; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,IGOD Union Government crawl; verified 2026-08-21,2026-08-21,VERIFIED,200,https://mospi.gov.in/,Ministry of Statistics and Program Implementation | Government Of India,http_head_get_sandbox,,,
cen-esankhyiki,eSankhyiki Portal (MoSPI),https://esankhyiki.mospi.gov.in/,central,,MoSPI,,,statistics,,MEDIUM,statistics,HTML; CSV,PUBLIC_DOWNLOAD,unknown,unknown,unknown,unknown,B,unknown,,WebSearch; verified 2026-08-21,2026-08-21,VERIFIED,200,https://esankhyiki.mospi.gov.in/,Ministry of Statistics and Program Implementation | Government Of India,http_head_get_sandbox,,,
cen-dea,Department of Economic Affairs,https://dea.gov.in/,central,,Ministry of Finance,,,finance,,MEDIUM,finance,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,IGOD; verified 2026-08-21,2026-08-21,VERIFIED,200,https://dea.gov.in/,Department of Economic Affairs,http_head_get_sandbox,,,
cen-dmeo,"Development Monitoring and Evaluation Office (DMEO, NITI Aayog)",https://dmeo.gov.in/,central,,NITI Aayog,,,project_monitoring,,MEDIUM,schemes; evaluation,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,WebSearch; verified 2026-08-21,2026-08-21,VERIFIED,200,https://dmeo.gov.in/,| DMEO | Development Monitoring and Evaluation Office | Attached office under NITI Aayog,http_head_get_sandbox,,,
cen-morth,Ministry of Road Transport and Highways (MoRTH),https://morth.nic.in/,central,,MoRTH,,,infrastructure,roads; highways,CRITICAL,roads; infrastructure; budget,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,http://morth.gov.in/,"Ministry of Road Transport & Highways, Government Of India",http_head_get_sandbox,,,
cen-nhai,National Highways Authority of India (NHAI),https://nhai.gov.in/,central,,MoRTH,,NHAI,infrastructure,national_highways,HIGH,roads; projects; procurement,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://nhai.gov.in/,"National Highways Authority of India, Ministry of Road Transport & Highways, Government of India",http_head_get_sandbox,,,
cen-nhidcl,National Highways & Infrastructure Development Corporation (NHIDCL),https://www.nhidcl.com/,central,,MoRTH,,NHIDCL,infrastructure,national_highways,MEDIUM,roads; projects,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,D,unknown,,WebSearch; verified 2026-08-21,2026-08-21,VERIFIED,200,https://www.nhidcl.com/,Home Page | National Highways & Infrastructure Development Corporation Ltd.,http_head_get_sandbox,,,Government PSU operating on a .com domain — confirmed as the official NHIDCL site by page title.
cen-ommas,"PMGSY OMMAS (Online Management, Monitoring and Accounting System)",https://online.omms.nic.in/,central,,Ministry of Rural Development,,NRIDA,project_monitoring,rural_roads,CRITICAL,projects; progress; finance; roads; procurement,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pmgsy_package_id; road_code,"WebSearch (gov.in-restricted) 2026-08-21; referenced by rural.nic.in, pmgsy.nic.in, dmeo.gov.in, pib.gov.in, cag.gov.in",2026-08-21,DISCOVERED,,,,http_head_get_sandbox,,,"HIGHEST-VALUE candidate for the tender->project->progress->money chain for rural roads. Not reachable from either verification channel on 2026-08-21 (DNS did not resolve). Existence strongly evidenced by multiple official references. MUST be verified from an Indian network vantage point before planning ingestion. | Not reachable from verification vantage point on 2026-08-21: URLERR [Errno 8] nodename nor servname provided, or not known. Existence NOT disproven."
cen-cpwd,Central Public Works Department (CPWD),https://cpwd.gov.in/,central,,Ministry of Housing and Urban Affairs,,,infrastructure,works; schedule_of_rates,HIGH,works; rates,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,IGOD; verified 2026-08-21,2026-08-21,VERIFIED,200,https://cpwd.gov.in/,Home | Central Public Works Department | Government of India,http_head_get_sandbox,,,Relevant to docs/08 road-model unit rates: CPWD publishes Schedule of Rates. Publication format NOT yet inventoried.
cen-nrega,MGNREGA / NREGA Public Data Portal,https://nrega.nic.in/,central,,Ministry of Rural Development,,,scheme,rural_employment; rural_works,HIGH,schemes; expenditure; works; local_government,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,lgd_code; work_code,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://nrega.nic.in/,,http_head_get_sandbox,,,Known for deep public MIS reporting down to panchayat and work level; report surface NOT yet inventoried for this registry.
cen-jjm,Jal Jeevan Mission,https://jaljeevanmission.gov.in/,central,,Ministry of Jal Shakti,,,scheme,water,MEDIUM,schemes; infrastructure,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://jaljeevanmission.gov.in/,Home | Jal Jeevan Mission,http_head_get_sandbox,,,
cen-sbm,Swachh Bharat Mission (Grameen),https://swachhbharatmission.ddws.gov.in/,central,,Ministry of Jal Shakti,,,scheme,sanitation,LOW,schemes,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://swachhbharatmission.ddws.gov.in/,Home | sbm,http_head_get_sandbox,,,
cen-mohua,Ministry of Housing and Urban Affairs,https://mohua.gov.in/,central,,MoHUA,,,urban,,HIGH,urban; schemes; infrastructure,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,IGOD; verified 2026-08-21,2026-08-21,VERIFIED,200,https://www.mohua.gov.in/,,http_head_get_sandbox,,,
cen-bhuvan,Bhuvan — Indian Geo-Platform of ISRO,https://bhuvan.nrsc.gov.in/,central,,Department of Space,,NRSC/ISRO,gis,,CRITICAL,gis; boundaries; assets,GIS; HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,docs/20; verified 2026-08-21,2026-08-21,VERIFIED,200,https://bhuvan.nrsc.gov.in/ngmaps,Bhuvan-Indian Geoportal of ISRO,http_head_get_sandbox,,,
cen-nrsc,National Remote Sensing Centre (NRSC),https://www.nrsc.gov.in/,central,,Department of Space,,,gis,,HIGH,gis,HTML; GIS,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,docs/20; verified 2026-08-21,2026-08-21,VERIFIED,200,https://www.nrsc.gov.in/nrscnew/,NRSC | NRSC Website,http_head_get_sandbox,,,
cen-bharatmaps,Bharat Maps (NIC national basemap),https://bharatmaps.gov.in/,central,,,,NIC,gis,,HIGH,gis; boundaries,GIS; HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,WebSearch; verified 2026-08-21,2026-08-21,VERIFIED,200,https://bharatmaps.gov.in/,Bharat Maps,http_head_get_sandbox,,,
proc-an,e-Procurement System — Andaman and Nicobar Islands,https://eprocure.gov.in/epublish/app,ut,Andaman and Nicobar Islands,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eprocure.gov.in/epublish/app,"ePublishing System, Government of India",http_head_get_sandbox,CPPP ePublishing only,https://eprocure.gov.in/epublish/app,Platform: CPPP ePublishing only. No dedicated State/UT e-procurement portal identified in the sources reviewed; CPPP ePublishing is the listed route.
proc-ap,e-Procurement System — Andhra Pradesh,https://apeprocurement.gov.in/,state,Andhra Pradesh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://apeprocurement.gov.in/,Welcome to AP E-Procurement Portal - Govt of Andhra Pradesh,http_head_get_sandbox,state-specific,http://www.eprocurement.gov.in/,Platform: state-specific. The URL published in the official CPPP State/UT list (http://www.eprocurement.gov.in/) did NOT resolve on 2026-08-21 (URLERR timed out); the live portal above was found via IGOD/WebSearch and verified.
proc-ap-alt0,AP eProcurement — tender search,https://tender.apeprocurement.gov.in,state,Andhra Pradesh,,,,procurement,tender_publication,MEDIUM,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tender.apeprocurement.gov.in,,http_head_get_sandbox,unknown,,Additional/secondary official procurement surface for this State/UT.
proc-ar,e-Procurement System — Arunachal Pradesh,https://arunachaltenders.gov.in,state,Arunachal Pradesh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://arunachaltenders.gov.in,HCI Arunachal- eProcurement System,http_head_get_sandbox,GePNIC,http://arunachaltenders.gov.in/nicgep/app,"Platform: GePNIC. CPPP list also publishes http://arunachaltenders.gov.in/nicgep/app (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-as,e-Procurement System — Assam,https://assamtenders.gov.in,state,Assam,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://assamtenders.gov.in,HCI Node-1 assam,http_head_get_sandbox,GePNIC,http://assamtenders.gov.in/nicgep/app,"Platform: GePNIC. CPPP list also publishes http://assamtenders.gov.in/nicgep/app (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-as-alt0,State Public Procurement Portal of Assam,https://sppp.assam.gov.in,state,Assam,,,,procurement,tender_publication,MEDIUM,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://sppp.assam.gov.in,sppp,http_head_get_sandbox,unknown,,Additional/secondary official procurement surface for this State/UT.
proc-br,e-Procurement System — Bihar,https://eproc2.bihar.gov.in,state,Bihar,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eproc2.bihar.gov.in/EPSV2Web/,Bihar Govt. eProcurement,http_head_get_sandbox,state-specific,https://www.eproc.bihar.gov.in,"Platform: state-specific. The URL published in the official CPPP State/UT list (https://www.eproc.bihar.gov.in) did NOT resolve on 2026-08-21 (URLERR [Errno 8] nodename nor servname provided, or not known); the live portal above was found via IGOD/WebSearch and verified."
proc-ch,e-Procurement System — Chandigarh,https://etenders.chd.nic.in,ut,Chandigarh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://etenders.chd.nic.in,Chandigarh - eProcurement System,http_head_get_sandbox,GePNIC,https://etenders.chd.nic.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-cg,e-Procurement System — Chhattisgarh,https://eproc.cgstate.gov.in,state,Chhattisgarh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eproc.cgstate.gov.in,CHIPS - e-Tendering System,http_head_get_sandbox,state-specific (CHiPS),https://cgeprocurement.gov.in,"Platform: state-specific (CHiPS). The URL published in the official CPPP State/UT list (https://cgeprocurement.gov.in) did NOT resolve on 2026-08-21 (URLERR [Errno 8] nodename nor servname provided, or not known); the live portal above was found via IGOD/WebSearch and verified."
proc-nd,e-Procurement System — Dadra and Nagar Haveli and Daman and Diu,https://dnhtenders.gov.in,ut,Dadra and Nagar Haveli and Daman and Diu,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://dnhtenders.gov.in,DNH eProcurement System,http_head_get_sandbox,GePNIC,http://dnhtenders.gov.in/nicgep/app,"Platform: GePNIC. CPPP list also publishes http://dnhtenders.gov.in/nicgep/app (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-dl,e-Procurement System — Delhi,https://govtprocurement.delhi.gov.in,ut,Delhi,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://govtprocurement.delhi.gov.in,DELHI eProcurement System,http_head_get_sandbox,GePNIC,https://govtprocurement.delhi.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-ga,e-Procurement System — Goa,https://eprocure.goa.gov.in/,state,Goa,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eprocure.goa.gov.in/,The eProcurement System of Goa,http_head_get_sandbox,GePNIC,http://www.etender.goa.gov.in,"Platform: GePNIC. The URL published in the official CPPP State/UT list (http://www.etender.goa.gov.in) did NOT resolve on 2026-08-21 (URLERR timed out); the live portal above was found via IGOD/WebSearch and verified. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-gj,e-Procurement System — Gujarat,https://tender.nprocure.com,state,Gujarat,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tender.nprocure.com,eProc-Suite,http_head_get_sandbox,"state-specific (nProcure / (n)Code, via GIL)",https://www.nprocure.com/asp/home/new_home_tenders.asp,"Platform: state-specific (nProcure / (n)Code, via GIL). The URL published in the official CPPP State/UT list (https://www.nprocure.com/asp/home/new_home_tenders.asp) did NOT resolve on 2026-08-21 (URLERR EOF occurred in violation of protocol (_ssl.c:1129)); the live portal above was found via IGOD/WebSearch and verified."
proc-gj-alt0,Gujarat Informatics Ltd — eProcurement (state nodal agency),https://gil.gujarat.gov.in/eprocurement,state,Gujarat,,,,procurement,tender_publication,MEDIUM,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://gil.gujarat.gov.in/eprocurement,GIL - enabling e- Governance,http_head_get_sandbox,unknown,,Additional/secondary official procurement surface for this State/UT.
proc-hr,e-Procurement System — Haryana,https://etenders.hry.nic.in,state,Haryana,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://etenders.hry.nic.in,Haryana- eProcurement System,http_head_get_sandbox,GePNIC,https://etenders.hry.nic.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-hp,e-Procurement System — Himachal Pradesh,https://hptenders.gov.in,state,Himachal Pradesh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://hptenders.gov.in,eProcurement System Government of Himachal Pradesh,http_head_get_sandbox,GePNIC,https://hptenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-jk,e-Procurement System — Jammu and Kashmir,https://jktenders.gov.in,ut,Jammu and Kashmir,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://jktenders.gov.in,Jammu & Kashmir eProcurement System,http_head_get_sandbox,GePNIC,https://jktenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-jh,e-Procurement System — Jharkhand,https://jharkhandtenders.gov.in,state,Jharkhand,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://jharkhandtenders.gov.in,Jharkhand eProcurement System,http_head_get_sandbox,GePNIC,https://jharkhandtenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-ka,e-Procurement System — Karnataka,https://eproc.karnataka.gov.in,state,Karnataka,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eproc.karnataka.gov.in,,http_head_get_sandbox,state-specific,https://eproc.karnataka.gov.in,Platform: state-specific.
